type,deck,front,back,text,image,tags
basic,ODS Knowledge,Navy enlisted sleeve insignia — E-9 MCPON?,Gold fouled anchor with silver USN centered across the anchor below three silver stars with a gold star specialty mark,,,navy-enlisted-sleeve
basic,ODS Knowledge,Marine officer collar device — W-1 WO?,Single bar device with a red background and one gold break,,,marine-officer-collar
basic,ODS Knowledge,Marine officer collar device — W-2 CWO2?,Single bar device with a red background and two gold breaks,,,marine-officer-collar
basic,ODS Knowledge,Marine officer collar device — W-3 CWO3?,Single bar device with a red background and one silver break,,,marine-officer-collar
basic,ODS Knowledge,Marine officer collar device — W-4 CWO4?,Single bar device with a red background and two silver breaks,,,marine-officer-collar
basic,ODS Knowledge,Marine officer collar device — W-5 CWO5?,Single silver bar device with a thin red break in the center,,,marine-officer-collar
basic,ODS Knowledge,Marine officer collar device — O-1 2ndLt?,One gold bar,,,marine-officer-collar
basic,ODS Knowledge,Marine officer collar device — O-2 1stLt?,One silver bar,,,marine-officer-collar
basic,ODS Knowledge,Marine officer collar device — O-3 Capt?,Two silver bars,,,marine-officer-collar
basic,ODS Knowledge,Marine officer collar device — O-4 Maj?,Gold oak leaf,,,marine-officer-collar
basic,ODS Knowledge,Marine officer collar device — O-5 LtCol?,Silver oak leaf,,,marine-officer-collar
basic,ODS Knowledge,Marine officer collar device — O-6 Col?,Silver eagle,,,marine-officer-collar
basic,ODS Knowledge,Marine officer collar device — O-7 BGen?,One silver five-pointed star,,,marine-officer-collar
basic,ODS Knowledge,Marine officer collar device — O-8 MajGen?,Two silver five-pointed stars,,,marine-officer-collar
basic,ODS Knowledge,Marine officer collar device — O-9 LtGen?,Three silver five-pointed stars,,,marine-officer-collar
basic,ODS Knowledge,Marine officer collar device — O-10 Gen?,Four silver five-pointed stars,,,marine-officer-collar
basic,ODS Knowledge,Marine enlisted sleeve insignia / collar device — E-1 Pvt?,None,,,marine-enlisted-insignia
basic,ODS Knowledge,Marine enlisted sleeve insignia / collar device — E-2 PFC?,One stripe,,,marine-enlisted-insignia
basic,ODS Knowledge,Marine enlisted sleeve insignia / collar device — E-3 LCpl?,One stripe over crossed rifles,,,marine-enlisted-insignia
basic,ODS Knowledge,Marine enlisted sleeve insignia / collar device — E-4 Cpl?,Two stripes over crossed rifles,,,marine-enlisted-insignia
basic,ODS Knowledge,Marine enlisted sleeve insignia / collar device — E-5 Sgt?,Three stripes over crossed rifles,,,marine-enlisted-insignia
basic,ODS Knowledge,Marine enlisted sleeve insignia / collar device — E-6 SSgt?,Three stripes over crossed rifles over one rocker,,,marine-enlisted-insignia
basic,ODS Knowledge,Marine enlisted sleeve insignia / collar device — E-7 GySgt?,Three stripes over crossed rifles over two rockers,,,marine-enlisted-insignia
basic,ODS Knowledge,Marine enlisted sleeve insignia / collar device — E-8 MSgt?,Three stripes over crossed rifles over three rockers,,,marine-enlisted-insignia
basic,ODS Knowledge,Marine enlisted sleeve insignia / collar device — E-8 1stSgt?,Three stripes over one diamond over three rockers,,,marine-enlisted-insignia
basic,ODS Knowledge,Marine enlisted sleeve insignia / collar device — E-9 MGySgt?,Three stripes over a bursting bomb over four rockers,,,marine-enlisted-insignia
basic,ODS Knowledge,Marine enlisted sleeve insignia / collar device — E-9 SgtMaj?,Three stripes over one star over four rockers,,,marine-enlisted-insignia
basic,ODS Knowledge,Marine enlisted sleeve insignia / collar device — E-9 SMMC?,Three stripes over the Marine Corps emblem centered between two five-pointed stars over four rockers,,,marine-enlisted-insignia
basic,ODS Knowledge,Line and Restricted Line officer sleeve/shoulder device?,A gold embroidered five-pointed star,,,corps-devices
basic,ODS Knowledge,Line and Restricted Line officer collar device?,A gold embroidered five-pointed star (rank insignia worn on both collars),,,corps-devices
basic,ODS Knowledge,Supply Corps officer sleeve/shoulder device?,A gold embroidered sprig of three oak leaves and three acorns,,,corps-devices
basic,ODS Knowledge,Supply Corps officer collar device (left collar)?,A gold metal sprig of three oak leaves and three acorns,,,corps-devices
basic,ODS Knowledge,Civil Engineer Corps officer sleeve/shoulder device?,Two gold embroidered sprigs of two oak leaves and a silver acorn in each sprig,,,corps-devices
basic,ODS Knowledge,Civil Engineer Corps officer collar device (left collar)?,A gold metal pin with two sprigs of two oak leaves and a silver acorn in each sprig,,,corps-devices
basic,ODS Knowledge,"Staff Corps officers (Supply, CEC): where is the corps device worn on the collar?",Left collar; rank insignia is worn on the right collar,,,corps-devices
basic,ODS Knowledge,Line and Restricted Line officers: where is rank insignia worn on the collar?,Both collars,,,corps-devices
basic,ODS Knowledge,Navy E-7+ enlisted sleeve insignia: what anchor device is used?,Gold fouled anchor with silver USN centered across the anchor (with stars below for E-8/E-9),,,navy-enlisted-sleeve
basic,ODS Knowledge,Navy PO1 (E-6) vs CPO (E-7) collar device — what changes?,CPO adds one rocker between the eagle and the three chevrons,,,navy-enlisted-collar
basic,ODS Knowledge,Navy SCPO vs MCPO collar device — star difference?,SCPO: one silver star above eagle/rocker/chevrons. MCPO: two silver stars,,,navy-enlisted-collar
basic,ODS Knowledge,Marine MSgt vs 1stSgt (both E-8) — insignia difference?,MSgt: crossed rifles. 1stSgt: one diamond (no crossed rifles),,,marine-enlisted-insignia
basic,ODS Knowledge,What rank wears this collar device?,Chief Warrant Officer Two (CWO2),,insignia/navy-officer-collar/w2-cwo2.png,"navy-officer-rank,image-beta,pdf-demo"
basic,ODS Knowledge,What rank wears this collar device?,Chief Warrant Officer Three (CWO3),,insignia/navy-officer-collar/w3-cwo3.png,"navy-officer-rank,image-beta,pdf-demo"
basic,ODS Knowledge,What rank wears this collar device?,Chief Warrant Officer Four (CWO4),,insignia/navy-officer-collar/w4-cwo4.png,"navy-officer-rank,image-beta,pdf-demo"
basic,ODS Knowledge,What rank wears this collar device?,Chief Warrant Officer Five (CWO5),,insignia/navy-officer-collar/w5-cwo5.png,"navy-officer-rank,image-beta,pdf-demo"
basic,ODS Knowledge,What rank wears this collar device?,Ensign (ENS),,insignia/navy-officer-collar/o1-ens.png,"navy-officer-rank,image-beta,pdf-demo"
basic,ODS Knowledge,What rank wears this collar device?,Lieutenant Junior Grade (LTJG),,insignia/navy-officer-collar/o2-ltjg.png,"navy-officer-rank,image-beta,pdf-demo"
basic,ODS Knowledge,What rank wears this collar device?,Lieutenant (LT),,insignia/navy-officer-collar/o3-lt.png,"navy-officer-rank,image-beta,pdf-demo"
basic,ODS Knowledge,What rank wears this collar device?,Lieutenant Commander (LCDR),,insignia/navy-officer-collar/o4-lcdr.png,"navy-officer-rank,image-beta,pdf-demo"
basic,ODS Knowledge,What rank wears this collar device?,Commander (CDR),,insignia/navy-officer-collar/o5-cdr.png,"navy-officer-rank,image-beta,pdf-demo"
basic,ODS Knowledge,What rank wears this collar device?,Captain (CAPT),,insignia/navy-officer-collar/o6-capt.png,"navy-officer-rank,image-beta,pdf-demo"
basic,ODS Knowledge,What rank wears this collar device?,Rear Admiral Lower Half (RDML),,insignia/navy-officer-collar/o7-rdml.png,"navy-officer-rank,image-beta,pdf-demo"
basic,ODS Knowledge,What rank wears this collar device?,Rear Admiral (RADM),,insignia/navy-officer-collar/o8-radm.png,"navy-officer-rank,image-beta,pdf-demo"
basic,ODS Knowledge,What rank wears this collar device?,Vice Admiral (VADM),,insignia/navy-officer-collar/o9-vadm.png,"navy-officer-rank,image-beta,pdf-demo"
basic,ODS Knowledge,What rank wears this collar device?,Admiral (ADM),,insignia/navy-officer-collar/o10-adm.png,"navy-officer-rank,image-beta,pdf-demo"
basic,ODS Knowledge,What rank wears this collar device?,Fleet Admiral (FADM),,insignia/navy-officer-collar/o11-fadm.png,"navy-officer-rank,image-beta,pdf-demo"
basic,ODS Knowledge,Galley procedures motto (three words required at all times)?,"Speed, volume, and intensity",,,galley-overview
basic,ODS Knowledge,Galley motto — which is NOT part of it?,"Silence, patience, and caution",,,galley-overview
basic,ODS Knowledge,Who may modify basic galley procedures?,The Class Team,,,galley-overview
basic,ODS Knowledge,Why may the Class Team modify galley procedures?,Schedule or training requirements,,,galley-overview
basic,ODS Knowledge,"Before entering, the company halts at which building?",Ney Hall,,,galley-approach
basic,ODS Knowledge,"What is ""The Chute""?",The blue awning at the front of Ney Hall,,,galley-approach
basic,ODS Knowledge,Where exactly does the company halt at Ney Hall?,The step leading to the double door entrance,,,galley-approach
basic,ODS Knowledge,Chow time for each class/company is found where?,Plan of the day (POD),,,galley-approach
basic,ODS Knowledge,Where does the Drill Officer march the company before entering the galley?,"Front of Ney Hall under the blue awning (""The Chute""), halted at the step to the double doors",,,galley-approach
basic,ODS Knowledge,Where does the Drill Officer post before commencing galley procedures?,"Port side of the formation, abreast of the first rank, then right face to the company",,,galley-drill-officer
basic,ODS Knowledge,"Drill Officer: ""Guide, post the guidon."" — Guide's response?","Aye-aye, Sir/Ma'am",,,galley-drill-officer
basic,ODS Knowledge,"After posting the guidon, where does the Guide fall in?",Rear of the company formation,,,galley-drill-officer
basic,ODS Knowledge,"Drill Officer: ""Mess Treasurer, fall out."" — Mess Treasurer's response?","Aye-aye, Sir/Ma'am",,,galley-drill-officer
basic,ODS Knowledge,"When the Mess Treasurer falls out, what two things do they do?",Report company arrival to the mess attendant and request seating,,,galley-mess-treasurer
basic,ODS Knowledge,Glow belts during entering: stow in which pocket?,Starboard pocket,,,galley-drill-officer
basic,ODS Knowledge,"""Prepare to crush starboard"" — when do students say ""Pain""?",When both heels come together after the starboard side-step,,,galley-drill-officer
cloze,ODS Knowledge,,,"Drill Officer: ""Ready"" → company: ""{{c1::Discipline}}""; Drill Officer: ""Move"" → company: ""{{c2::Pain}}"" (crush starboard).",,galley-drill-officer
basic,ODS Knowledge,"Drill Officer: ""Mess Treasurer, Report."" — what does the Mess Treasurer report about lines?","The company will utilize all lines (1, 2, 3, 4)",,,galley-mess-treasurer
basic,ODS Knowledge,Mess Treasurer report: seating location is directed by whom?,Galley Attendant (goat locker / active scullery / inactive scullery / shark tank),,,galley-mess-treasurer
basic,ODS Knowledge,"Drill Officer: ""First four to the door"" — what do the first four do?",Open the inner and outer doors to the galley,,,galley-entry
basic,ODS Knowledge,"Drill Officer: ""Column of files from the left, last Sailor sound off last Sailor."" — column leader's response?",Forward,,,galley-entry
basic,ODS Knowledge,Other squad leaders during column of files from the left?,Stand Fast (heads snapped left),,,galley-entry
cloze,ODS Knowledge,,,"Last Sailor in the column sounds off: ""{{c1::Last Sailor}}""",,galley-entry
basic,ODS Knowledge,"When entering the galley, where are hand sanitizer dispensers?",On the right inside the doors,,,galley-entry
basic,ODS Knowledge,When are covers removed during entry?,"While filing out, before sanitizing hands",,,galley-entry
basic,ODS Knowledge,In the chow line: talking or looking around?,No talking and no looking around,,,galley-lines
basic,ODS Knowledge,Tray position while moving through chow lines?,"Elbows tucked, arms parallel to the deck",,,galley-lines
basic,ODS Knowledge,Student forgot knowledge book/sheet at chow — what do they study with?,A table condiment held straight out in the right hand,,,galley-lines
basic,ODS Knowledge,Outer garments (coats/jackets) at the table — when removed?,Before arranging trays; placed on the back of the chair,,,galley-lines
basic,ODS Knowledge,Coffee/salad bar (if authorized): retrieve when?,After the 15-minute warning (or at 15-minute warning per class team),,,galley-lines
basic,ODS Knowledge,Section Leader seat location at the table?,"Forward-most, inboard to the active scullery",,,galley-seating
basic,ODS Knowledge,"Section Leader: ""Put it away table one"" — table response?",Aye-aye Sir/Ma'am,,,galley-seating
basic,ODS Knowledge,"At preparatory command ""Take"" (before Seats), where is the right hand?","On the back of the chair (overhand grip), in unison",,,galley-seating
cloze,ODS Knowledge,,,"At execution ""Seats,"" the table recites: ""{{c1::TO LEAD IS TO SERVE}} / {{c2::ALWAYS WATCHED ALWAYS JUDGED}} / {{c3::YOUR COMPANY MANTRA}}""",,galley-seating
basic,ODS Knowledge,Seated at attention: heel angle?,45 degrees,,,galley-seating
basic,ODS Knowledge,Seated at attention: hand position?,"Knife hands flat on each lap, not beyond the knees",,,galley-seating
basic,ODS Knowledge,From which side do students move into seats?,Port side,,,galley-seating
basic,ODS Knowledge,15-minute warning: what may students begin?,Eating (thousand-yard stare; elbows off table; chew with mouth closed),,,galley-meal
basic,ODS Knowledge,10- or 5-minute warnings: company reply if no food in mouth?,Aye-aye Sir/Ma'am,,,galley-meal
basic,ODS Knowledge,Done eating early before warnings end — position?,"POA, thousand-yard stare, feet 45°, knife hands on upper thighs",,,galley-meal
basic,ODS Knowledge,Immediate warning: does the table respond verbally?,No — pause; no one gets up to retrieve anything,,,galley-meal
basic,ODS Knowledge,"After immediate warning, cups go where?",On the tray (all eating/drinking/chewing finished),,,galley-meal
basic,ODS Knowledge,"""Take … feet"" — list three actions before facing inboard.","Stand, push chairs in, don outer wear and glow belts, pick up trays, wipe table area",,,galley-exit
basic,ODS Knowledge,Trash vs trays on exit: where does each go?,Trash (non-food) in trash cans; trays in the scullery,,,galley-exit
basic,ODS Knowledge,Exit route after scullery?,Up the center passageway as directed by the Class Chief,,,galley-exit
basic,ODS Knowledge,Column of files to exit: which side is chosen?,Left or right — whichever is closest to the active scullery,,,galley-exit
basic,ODS Knowledge,"Company fails commands (not in unison / no motivation) — who may call ""As you were""?",Any student (especially the Section Leader),,,galley-corrections
basic,ODS Knowledge,Tray arrangement reference?,Tray diagrams on page F-4 of the knowledge book,,,galley-corrections
basic,ODS Knowledge,"Galley entering: after Mess Treasurer returns and centers, next Drill Officer command?","Mess Treasurer, Report",,,galley-sequence
basic,ODS Knowledge,"Galley entering: after crush starboard, next step involving Mess Treasurer?","Mess Treasurer, Report (after MT centers on company)",,,galley-sequence
basic,ODS Knowledge,"After ""Put it away,"" next Section Leader command sequence?",Take … (pause) … Seats,,,galley-sequence
basic,ODS Knowledge,"After immediate warning, next Section Leader command?",Take … (pause) … feet,,,galley-sequence
